thaonp@ThaoNP:/media/thaonp/40B6B6B1B6B6A6B6/finalDSP/speaker-recognition-py3$ ./masstesting.sh NHQ
./test/NHQ/NHQ21.wav -> NHQ , score-> 0.129
./test/TTL/TTL22.wav -> TTL , score-> 0.128
./test/TTL/TTL23.wav -> TTL , score-> 0.127
./test/TTL/TTL24.wav -> TTL , score-> 0.127
./test/TTL/TTL25.wav -> TTL , score-> 0.128
./test/TTL/TTL26.wav -> TTL , score-> 0.131
./test/TTL/TTL27.wav -> TTL , score-> 0.129
./test/TTL/TTL28.wav -> TTM , score-> 0.131
./test/TTL/TTL29.wav -> TTM , score-> 0.13
./test/TTL/TTL30.wav -> TTL , score-> 0.129
thaonp@ThaoNP:/media/thaonp/40B6B6B1B6B6A6B6/finalDSP/speaker-recognition-py3$ ./masstesting.sh TTM
./test/TTM/TTM21.wav -> TTL , score-> 0.127
./test/TTM/TTM22.wav -> TTM , score-> 0.128
./test/TTM/TTM23.wav -> TTM , score-> 0.128
./test/TTM/TTM24.wav -> TTM , score-> 0.13
./test/TTM/TTM25.wav -> TTM , score-> 0.129
./test/TTM/TTM26.wav -> TTM , score-> 0.13
./test/TTM/TTM27.wav -> TTM , score-> 0.131
./test/TTM/TTM28.wav -> TTM , score-> 0.129
./test/TTM/TTM29.wav -> TTM , score-> 0.13
./test/TTM/TTM30.wav -> TTM , score-> 0.13
thaonp@ThaoNP:/media/thaonp/40B6B6B1B6B6A6B6/finalDSP/speaker-recognition-py3$ ./masstesting.sh VVH
./test/VVH/VVH21.wav -> VVH , score-> 0.127
./test/VVH/VVH22.wav -> VVH , score-> 0.127
./test/VVH/VVH23.wav -> VVH , score-> 0.127
./test/VVH/VVH24.wav -> VVH , score-> 0.127
./test/VVH/VVH25.wav -> VVH , score-> 0.127
./test/VVH/VVH26.wav -> VVH , score-> 0.13
./test/VVH/VVH27.wav -> NTD , score-> 0.128
./test/VVH/VVH28.wav -> NTD , score-> 0.127
./test/VVH/VVH29.wav -> VVH , score-> 0.127
./test/VVH/VVH30.wav -> VVH , score-> 0.128
thaonp@ThaoNP:/media/thaonp/40B6B6B1B6B6A6B6/finalDSP/speaker-recognition-py3$ ./masstesting.sh NTV
./test/NTV/NTV21.wav -> NTV , score-> 0.127
./test/NTV/NTV22.wav -> NTV , score-> 0.126
./test/NTV/NTV23.wav -> NTV , score-> 0.127
./test/NTV/NTV24.wav -> NTV , score-> 0.127
./test/NTV/NTV25.wav -> NPT , score-> 0.129
./test/NTV/NTV26.wav -> NPT , score-> 0.128
./test/NTV/NTV27.wav -> NTV , score-> 0.127
./test/NTV/NTV28.wav -> NPT , score-> 0.128
./test/NTV/NTV29.wav -> NPT , score-> 0.129
./test/NTV/NTV30.wav -> NPT , score-> 0.129
